seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
0,2,LR,arm2,100,global,184,0.7174,0.7426,0.8306
0,2,LR,arm2,100,0,37,0.7568,0.7429,0.8567
0,2,LR,arm2,100,1,53,0.7736,0.8125,0.8705
0,2,LR,arm2,100,2,46,0.6304,0.6531,0.7562
0,2,LR,arm2,100,3,48,0.7083,0.7407,0.8289
0,2,LR,arm2,1.0,global,184,0.712,0.7363,0.8311
0,2,LR,arm2,1.0,0,42,0.7857,0.8163,0.8729
0,2,LR,arm2,1.0,1,72,0.6944,0.7381,0.8172
0,2,LR,arm2,1.0,2,46,0.6522,0.6364,0.767
0,2,LR,arm2,1.0,3,24,0.75,0.75,0.95
0,2,LR,arm2,0.5,global,184,0.7446,0.7751,0.8317
0,2,LR,arm2,0.5,0,60,0.7,0.5263,0.784
0,2,LR,arm2,0.5,1,74,0.7838,0.875,0.9236
0,2,LR,arm2,0.5,2,34,0.7647,0.7333,0.8791
0,2,LR,arm2,0.5,3,16,0.6875,0.6154,0.9792
0,2,LR,arm2,0.1,global,184,0.7337,0.7633,0.8309
0,2,LR,arm2,0.1,0,64,0.6719,0.0,nan
0,2,LR,arm2,0.1,1,102,0.7745,0.8729,nan
0,2,LR,arm2,0.1,2,10,0.8,0.0,nan
0,2,LR,arm2,0.1,3,8,0.625,0.0,nan
0,2,LR,arm2,natural,global,184,0.7065,0.73,0.8302
0,2,LR,arm2,natural,0,54,0.6852,0.6383,0.8297
0,2,LR,arm2,natural,1,67,0.7463,0.6792,0.8621
0,2,LR,arm2,natural,2,21,0.8571,0.9231,nan
0,2,LR,arm2,natural,3,42,0.5952,0.7213,0.6222
0,2,MLP,arm1,,global,184,0.7554,0.7887,0.837
0,2,MLP,arm1,100,0,37,0.8108,0.8108,0.8655
0,2,MLP,arm1,100,1,53,0.7736,0.8182,0.881
0,2,MLP,arm1,100,2,46,0.7174,0.7547,0.7619
0,2,MLP,arm1,100,3,48,0.7292,0.7719,0.8325
0,2,MLP,arm1,1.0,0,42,0.8095,0.84,0.8847
0,2,MLP,arm1,1.0,1,72,0.7639,0.809,0.8364
0,2,MLP,arm1,1.0,2,46,0.6739,0.6939,0.767
0,2,MLP,arm1,1.0,3,24,0.7917,0.8,0.95
0,2,MLP,arm1,0.5,0,60,0.7167,0.5405,0.8003
