seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
9,0,VQC,arm4,0.1,0,76,0.5789,0.5,0.7333
9,0,VQC,arm4,0.1,1,6,1.0,1.0,nan
9,0,VQC,arm4,0.1,2,88,0.7614,0.8511,0.7732
9,0,VQC,arm4,0.1,3,14,0.5,0.0,nan
9,1,VQC,arm4,0.1,global,184,0.6957,0.7431,0.791
9,1,VQC,arm4,0.1,0,68,0.6765,0.5417,0.8149
9,1,VQC,arm4,0.1,1,7,0.8571,0.9231,nan
9,1,VQC,arm4,0.1,2,103,0.699,0.8,0.7431
9,1,VQC,arm4,0.1,3,6,0.6667,0.0,nan
9,2,VQC,arm4,0.1,global,184,0.6957,0.7358,0.7642
9,2,VQC,arm4,0.1,0,72,0.6111,0.5,0.6491
9,2,VQC,arm4,0.1,1,7,0.7143,0.8333,nan
9,2,VQC,arm4,0.1,2,88,0.7614,0.8489,0.8325
9,2,VQC,arm4,0.1,3,17,0.7059,0.0,nan
9,3,VQC,arm4,0.1,global,184,0.663,0.6961,0.761
9,3,VQC,arm4,0.1,0,63,0.5873,0.3158,0.7202
9,3,VQC,arm4,0.1,1,6,0.8333,0.8889,0.8
9,3,VQC,arm4,0.1,2,105,0.6952,0.7922,0.8359
9,3,VQC,arm4,0.1,3,10,0.7,0.0,nan
9,4,VQC,arm4,0.1,global,184,0.7554,0.7867,0.8227
9,4,VQC,arm4,0.1,0,75,0.6667,0.5763,0.7864
9,4,VQC,arm4,0.1,1,7,0.5714,0.7273,nan
9,4,VQC,arm4,0.1,2,87,0.8161,0.8841,0.8586
9,4,VQC,arm4,0.1,3,15,0.9333,0.6667,1.0
0,0,VQC,arm4,0.5,global,184,0.6196,0.7177,0.5375
0,0,VQC,arm4,0.5,0,62,0.4677,0.4762,0.5537
0,0,VQC,arm4,0.5,1,69,0.8841,0.9375,0.3333
0,0,VQC,arm4,0.5,2,33,0.4848,0.5405,0.4463
0,0,VQC,arm4,0.5,3,20,0.4,0.4,0.3452
