seed,fold,model,condition,round,mean_pairwise_l2
3,2,weak-MLP,natural,1,0.206637
3,2,weak-MLP,natural,2,0.203079
3,2,weak-MLP,natural,3,0.200576
3,3,weak-MLP,100,0,0.066259
3,3,weak-MLP,100,1,0.064648
3,3,weak-MLP,100,2,0.063574
3,3,weak-MLP,100,3,0.062787
3,3,weak-MLP,1.0,0,0.096996
3,3,weak-MLP,1.0,1,0.095563
3,3,weak-MLP,1.0,2,0.094853
3,3,weak-MLP,1.0,3,0.09446
3,3,weak-MLP,0.5,0,0.282507
3,3,weak-MLP,0.5,1,0.278277
3,3,weak-MLP,0.5,2,0.275791
3,3,weak-MLP,0.5,3,0.27417
3,3,weak-MLP,0.1,0,0.409491
3,3,weak-MLP,0.1,1,0.402306
3,3,weak-MLP,0.1,2,0.398016
3,3,weak-MLP,0.1,3,0.395155
3,3,weak-MLP,natural,0,0.200565
3,3,weak-MLP,natural,1,0.195617
3,3,weak-MLP,natural,2,0.192606
3,3,weak-MLP,natural,3,0.19053
3,4,weak-MLP,100,0,0.059276
3,4,weak-MLP,100,1,0.057987
3,4,weak-MLP,100,2,0.057098
3,4,weak-MLP,100,3,0.05642
3,4,weak-MLP,1.0,0,0.084532
3,4,weak-MLP,1.0,1,0.082417
3,4,weak-MLP,1.0,2,0.081283
3,4,weak-MLP,1.0,3,0.080582
3,4,weak-MLP,0.5,0,0.284216
3,4,weak-MLP,0.5,1,0.280324
3,4,weak-MLP,0.5,2,0.278013
3,4,weak-MLP,0.5,3,0.276439
3,4,weak-MLP,0.1,0,0.403885
3,4,weak-MLP,0.1,1,0.397082
3,4,weak-MLP,0.1,2,0.393099
3,4,weak-MLP,0.1,3,0.390404
3,4,weak-MLP,natural,0,0.209669
3,4,weak-MLP,natural,1,0.203678
3,4,weak-MLP,natural,2,0.200088
3,4,weak-MLP,natural,3,0.197584
4,0,weak-MLP,100,0,0.026202
4,0,weak-MLP,100,1,0.02233
4,0,weak-MLP,100,2,0.019554
4,0,weak-MLP,100,3,0.018465
4,0,weak-MLP,1.0,0,0.258167
4,0,weak-MLP,1.0,1,0.236355
4,0,weak-MLP,1.0,2,0.225285
4,0,weak-MLP,1.0,3,0.222133
4,0,weak-MLP,0.5,0,0.174548
4,0,weak-MLP,0.5,1,0.159569
4,0,weak-MLP,0.5,2,0.153138
4,0,weak-MLP,0.5,3,0.151786
4,0,weak-MLP,0.1,0,0.300036
4,0,weak-MLP,0.1,1,0.273535
4,0,weak-MLP,0.1,2,0.260516
4,0,weak-MLP,0.1,3,0.256887
4,0,weak-MLP,natural,0,0.196259
4,0,weak-MLP,natural,1,0.179673
4,0,weak-MLP,natural,2,0.171986
4,0,weak-MLP,natural,3,0.169958
4,1,weak-MLP,100,0,0.018404
4,1,weak-MLP,100,1,0.013994
4,1,weak-MLP,100,2,0.011286
4,1,weak-MLP,100,3,0.009954
4,1,weak-MLP,1.0,0,0.270169
4,1,weak-MLP,1.0,1,0.248018
4,1,weak-MLP,1.0,2,0.238722
4,1,weak-MLP,1.0,3,0.236896
4,1,weak-MLP,0.5,0,0.188889
