seed,fold,model,condition,round,mean_pairwise_l2
4,1,VQC-circmean,0.1,18,0.251852
4,1,VQC-circmean,0.1,19,0.250127
4,2,VQC-circmean,0.1,0,0.586492
4,2,VQC-circmean,0.1,1,0.552607
4,2,VQC-circmean,0.1,2,0.515374
4,2,VQC-circmean,0.1,3,0.476663
4,2,VQC-circmean,0.1,4,0.440617
4,2,VQC-circmean,0.1,5,0.409749
4,2,VQC-circmean,0.1,6,0.384017
4,2,VQC-circmean,0.1,7,0.362578
4,2,VQC-circmean,0.1,8,0.344621
4,2,VQC-circmean,0.1,9,0.329494
4,2,VQC-circmean,0.1,10,0.316715
4,2,VQC-circmean,0.1,11,0.305795
4,2,VQC-circmean,0.1,12,0.295966
4,2,VQC-circmean,0.1,13,0.286317
4,2,VQC-circmean,0.1,14,0.276989
4,2,VQC-circmean,0.1,15,0.269069
4,2,VQC-circmean,0.1,16,0.262737
4,2,VQC-circmean,0.1,17,0.257858
4,2,VQC-circmean,0.1,18,0.254233
4,2,VQC-circmean,0.1,19,0.251627
4,3,VQC-circmean,0.1,0,0.579499
4,3,VQC-circmean,0.1,1,0.549533
4,3,VQC-circmean,0.1,2,0.513547
4,3,VQC-circmean,0.1,3,0.47688
4,3,VQC-circmean,0.1,4,0.44366
4,3,VQC-circmean,0.1,5,0.414403
4,3,VQC-circmean,0.1,6,0.388999
4,3,VQC-circmean,0.1,7,0.367442
4,3,VQC-circmean,0.1,8,0.349367
4,3,VQC-circmean,0.1,9,0.334313
4,3,VQC-circmean,0.1,10,0.321872
4,3,VQC-circmean,0.1,11,0.311512
4,3,VQC-circmean,0.1,12,0.302359
4,3,VQC-circmean,0.1,13,0.293333
4,3,VQC-circmean,0.1,14,0.283956
4,3,VQC-circmean,0.1,15,0.274922
4,3,VQC-circmean,0.1,16,0.267096
4,3,VQC-circmean,0.1,17,0.260868
4,3,VQC-circmean,0.1,18,0.256326
4,3,VQC-circmean,0.1,19,0.25328
4,4,VQC-circmean,0.1,0,0.586116
4,4,VQC-circmean,0.1,1,0.542226
